path,title,current_categories,current_tags,proposed_categories,proposed_tags
_posts/devops/2024-09-18-gitlab-cd.md,Gitlab,DevOps;GitOps,GitOps,DevOps,CI/CD;Pipeline
_posts/devops/2024-09-18-flux-release.md,Flux Release,DevOps;GitOps,GitOps,DevOps,Kubernetes
_posts/devops/2024-09-17-git-ops.md,Git Ops,DevOps;GitOps,GitOps,DevOps,Infrastructure;Automation;Kubernetes
_posts/devops/2024-09-17-helm-charts.md,Helm Charts with minikube,DevOps;GitOps,GitOps,DevOps,Kubernetes
_posts/devops/2024-09-17-terraform.md,Terraform,DevOps;GitOps,GitOps,DevOps,Automation
_posts/python/2023-03-13-python.md,Python Concepts,Machine Learning;Python,Machine Learning,Python,Programming;Fundamentals
_posts/health/2024-12-24-veg-healthy-snacks.md,Veggie snacks,Health,Health,Health,Healthy Eating;Recipes
_posts/health/2024-12-24-veg-stock.md,Vegetable Stock: Best Preparation Methods,Health,Health,Health,Cooking;Recipes
_posts/health/2025-01-07-healthy-breakfast.md,Breakfast Healthy,Health,Health,Health,Nutrition;Healthy Eating;Meal Planning
_posts/health/2025-01-07-strength-training.md,Strength Training - Gym - Muscle Building Plan,Health,Health,Health,Health
_posts/health/2024-12-20-health-drinks.md,Health Drinks,Health,Health,Health,Nutrition;Healthy;Recipes
_posts/health/2025-01-16-Yog&Pranayam.md,Pranayama - प्राणायाम,Health,Health,Health,Wellness
_posts/health/2024-12-24-food-options.md,"Food Options - Understanding Seeds, Grains, Millets, Legumes & Pulses",Health,Health,Health,Nutrition;Guide
_posts/health/2024-12-24-salad-dressings.md,Salad-dressings & Pairings - Sugar free,Health,Health,Health,Healthy;Recipes;Cooking
_posts/health/2025-01-07-workout-meals.md,Pre/Post Workout Meals,Health,Health,Health,Nutrition;Meal Planning
_posts/health/2024-12-24-health-science.md,Nutrient Guide for a Healthier Diet,Health,Health,Health,Nutrition;Guide;Wellness
_posts/health/2024-12-24-soups.md,Soups from Veggie Stock,Health,Health,Health,Recipes;Cooking;Healthy
_posts/health/2025-01-07-rotis.md,Roti,Health,Health,Health,Recipes;Cooking
_posts/health/2025-01-26-Yog.md,"Yoga - योग, योगासन, योगाभ्यास",Health,Health,Health,Wellness
_posts/health/2025-01-25-Diet.md,Diet,Health,Health,Health,Nutrition;Meal Planning;Healthy Eating;Wellness
_posts/health/2023-06-17-millets.md,Types of Millets,Health,Health,Health,Nutrition;Healthy
_posts/health/2025-01-07-rice-substitutes.md,Rice Substitutes & Combinations,Health,Health,Health,Meal Planning
_posts/health/2025-01-07-breads.md,Breads,Health,Health,Health,Recipes;Cooking;Healthy
_posts/health/2024-12-24-dry-fruits.md,Dry Fruit: Meal Plan,Health,Health,Health,Nutrition;Meal Planning;Healthy
_posts/health/2024-12-24-salad-diet-plan.md,Salad Plan for Lunch,Health,Health,Health,Meal Planning;Nutrition;Healthy Eating
_posts/science/2024-11-03-capacitors.md,Capacitors,Electronics,Electronics,Electronics,Components;Theory
_posts/science/2024-10-25-electronic-basics.md,Electronics,Electronics,Electronics,Electronics,Fundamentals;Tutorial
_posts/science/2024-11-12-diodes.md,Diodes,Electronics,Electronics,Electronics,Components
_posts/science/2024-11-03-not-gate.md,Gates - Not Gate with Diodes,Electronics,Electronics,Electronics,Electronics
_posts/science/2024-10-29-raspberryPi.md,Raspberry Pi,Electronics,Electronics,Electronics,Projects;Programming
_posts/science/2024-11-17-RGB-LED.md,RGB LED,Electronics,Electronics,Electronics,Components;Projects
_posts/science/2024-10-29-boards.md,Boards,Electronics,Electronics,Electronics,Arduino
_posts/science/2024-11-03-IR-sender-receiver.md,Transmitters & Receivers,Electronics,Electronics,Electronics,Electronics
_posts/science/2024-11-17-arduino-uno.md,Arduino UNO,Electronics,Electronics,Electronics,Arduino;Programming;Projects
_posts/science/2024-11-17-Ultrasonic-sensor.md,Ultrasonic Sensor,Electronics,Electronics,Electronics,Arduino;Projects
_posts/science/2024-10-25-electronic-components.md,Electronic Components,Electronics,Electronics,Electronics,Components;Reference;Guide
_posts/science/2024-11-17-Servo-motor.md,Servo Motor,Electronics,Electronics,Electronics,Arduino
_posts/science/2024-10-25-electronics-study-plan.md,Teaching Electronics,Electronics,Electronics,Electronics,Tutorial
_posts/science/2024-10-29-basic-twin-engine-plane.md,Simple Twin engine plane,Electronics,Electronics,Electronics,DIY
_posts/science/2024-11-03-soft_start.md,Soft Starter,Electronics,Electronics,Electronics,Electronics
_posts/science/2024-10-29-basic-drone.md,Simple Drone,Electronics,Electronics,Electronics,DIY
_posts/science/2025-02-02-Kids-Science-experiments.md,Kids Science Experiments ,Electronics,Electronics,Electronics,Electronics
_posts/science/2024-11-03-ldr.md,LDR - Light Dependent Resistor/Photoresistor,Electronics,Electronics,Electronics,Arduino;Projects
_posts/Algo/2021-10-30-coding-hints.md,Coding Hints,Algorithms,Algorithms,Algorithms,Programming
_posts/Algo/2022-02-03-array-syntax.md,Array Syntax,Algorithms,Algorithms,Algorithms,Arrays;Data Structures;Java;Programming
_posts/Algo/2023-12-18-algo-drills.md,Algo Drills,Algorithms,Algorithms,Algorithms,Practice
_posts/Algo/2016-04-09-stacks.md,Stacks,Algorithms,Algorithms,Algorithms,Data Structures;Implementation
_posts/Algo/2025-01-01-data-structures-java.md,Data Structures - Java Classes,Algorithms,Algorithms,Algorithms,Data Structures;Java;Collections;Implementation
_posts/Algo/2021-10-30-syntax-reference.md,Coding Interview - Syntax Reference,Algorithms,Algorithms,Algorithms,Reference;Interview
_posts/Algo/2022-02-02-sets.md,Sets,Algorithms,Algorithms,Algorithms,Data Structures;Collections;Java
_posts/Algo/2021-04-16-Searching.md,Searching,Algorithms,Algorithms,Algorithms,Algorithms
_posts/Algo/2016-04-11-queues.md,Queue,Algorithms,Algorithms,Algorithms,Data Structures;Implementation
_posts/Algo/2025-04-30-data-structures-java.md,Data Structures - Implementations,Algorithms,Algorithms,Algorithms,Data Structures;Implementation;Java;Tutorial
_posts/Algo/2016-04-09-linked-list.md,Linked List,Algorithms,Algorithms,Algorithms,Data Structures;Implementation
_posts/Algo/2024-07-14-dynamic-programming-2.md,Dynamic Programming - Iteration,Algorithms,Algorithms,Algorithms,Optimization
_posts/Algo/2024-07-14-dynamic-programming.md,Dynamic Programming - DP,Algorithms,Algorithms,Algorithms,Optimization
_posts/Algo/2022-02-02-iterator.md,Iterator,Algorithms,Algorithms,Algorithms,Collections;Java
_posts/Algo/2016-11-25-array-problems.md,Array Problems,Algorithms,Algorithms,Algorithms,Arrays;Practice;Interview
_posts/Algo/2024-07-14-dynamic-programming-3.md,Dynamic Programming - Grids,Algorithms,Algorithms,Algorithms,Algorithms
_posts/management/2025-05-28-tech-books.md,Software Engineering Books,Management,Miscellaneous,Management,Reference
_posts/management/2024-09-19-agile.md,Agile Concepts,Management,Management,Management,Management
_posts/management/2025-05-28-comp-sc-terms.md,Major psychological theories and behavioral science principles,Management,Miscellaneous,Management,Theory
_posts/management/2025-05-21-management-aphorisms.md,Management Aphorisms,Management,Miscellaneous,Management,Management
_posts/management/2025-07-18-scrum.md,Scrum,Management,Miscellaneous,Management,Management
_posts/management/2025-05-28-psyco-concepts.md,Major psychological theories and behavioral science principles,Management,Miscellaneous,Management,Theory
_posts/Java/2022-11-21-function.md,Function Functional Interface,Java,Java,Java,Functional Interface;Lambda;Java 8
_posts/Java/2023-11-24-exceptions.md,Exceptions in Java,Java,Java,Java,Best Practices
_posts/Java/2022-08-07-lambda-expressions.md,Lambda Expressions & Functional Interface,Java,Java,Java,Lambda;Functional Interface;Java 8;Functional Programming
_posts/Java/2024-08-17-compiler-code-optimization.md,Java Compiler Code Optimization,Java,Java,Java,Optimization;Performance
_posts/Java/2024-08-21-nested-class.md,Nested Classes in Java,Java,Java,Java,OOP
_posts/Java/2022-11-21-higher-order-function.md,Higher Order Functions,Java,Java,Java,Functional Programming;Lambda
_posts/Java/2022-11-21-supplier.md,Supplier Functional Interface,Java,Java,Java,Functional Interface;Lambda;Java 8
_posts/Java/2022-08-06-static-factory.md,Static Factory Methods,Java,Java,Java,Design Patterns;Best Practices
_posts/Java/2022-08-03-streams-issues.md,Java Stream Issues,Java,Java,Java,Streams;Troubleshooting;Java 8
_posts/Java/2022-11-21-java-generics.md,Generics,Java,Java,Java,Collections
_posts/Java/2022-08-06-generics.md,Generics,Java,Java,Java,Collections
_posts/Java/2022-11-21-predicate.md,Predicate Functional Interface,Java,Java,Java,Functional Interface;Lambda;Java 8
_posts/Java/2022-11-21-consumer.md,Consumer Functional Interface,Java,Java,Java,Functional Interface;Lambda;Java 8
_posts/Java/2022-08-23-javax-mail-api.md,Java Mailing API,Java,Java,Java,API
_posts/Java/2024-07-28-cloning.md,Java Cloning,Java,Java,Java,Java
_posts/Java/2023-08-26-wrapper-class.md,Wrapper Classes - Parse & ValueOf,Java,Java,Java,Primitives
_posts/Java/2022-12-31-collectors-deep-dive.md,Collectors - Deep Dive,Java,Java,Java,Streams;Java 8;Functional Programming
_posts/Java/2017-02-01-JavaInterviewQuestions.md,Java Interview Questions,Java,Java,Java,Interview
_posts/Java/2023-01-01-parallel-streams.md,Parallel Streams,Java,Java,Java,Streams;Concurrency;Java 8
_posts/Java/2025-05-18-java-coding-practices.md,Java Coding Practices,Java,Java,Java,Best Practices
_posts/Java/2022-11-18-java-method-reference.md,Method Reference,Java,Java,Java,Lambda;Java 8;Functional Programming
_posts/Java/2021-10-13-Optionals.md,Optional Use cases,Java,Java,Java,Java 8;Best Practices
_posts/Java/2022-08-06-reactive-programming.md,Reactive Programming,Java,Java,Java,Streams
_posts/Java/2022-10-20-serialization.md,Serialization & Externalization,Java,Java,Java,Java
_posts/Java/2024-08-21-java-compilation.md,Java Compilation Process & JVM Architecture,Java,Java,Java,JVM;Architecture
_posts/Java/2022-03-07-zoned-date-time.md,Java ZonedDate Time,Java,Java,Java,Java 8
_posts/Java/2022-09-06-streams.md,Java Streams - Revisions,Java,Java,Java,Streams;Java 8;Functional Programming;Collections
_posts/Java/2024-07-26-scopes.md,Variable Scopes in Java,Java;Multithreading,Multithreading,Java,Memory
_posts/Java/2022-08-06-java-io.md,Java IO,Java,Java,Java,Streams
_posts/Java/2018-01-24-CollectionClass.md,Java Collection Class,Java,Java,Java,Collections;Data Structures
_posts/Java/2023-10-22-switch.md,Switch,Java,Java,Java,Java
_posts/Java/2022-10-28-sorting.md,Sorting,Java,Java,Java,Collections;Arrays
_posts/Java/2023-10-20-java-tests.md,Java Puzzles,Java,Java,Java,Interview
_posts/Java/2024-08-21-java-annotations.md,Java annotations,Java,Java,Java,Java
_posts/Java/2025-04-08-Collectors-in-Java-Stream.md,Collectors in Java Streams,Java,Java,Java,Streams;Java 8;Functional Programming
_posts/Java/2022-08-06-functional-programming.md,Functional Programming Concepts,Java,Java,Java,Functional Programming;Lambda;Streams;Java 8
_posts/Java/2023-11-24-sonarcube-local.md,Sonarcube on local,Java,Java,Java,Java
_posts/Java/2022-08-06-polymorphism.md,Polymorphism,Java,Java,Java,OOP
_posts/Java/2022-08-06-static.md,Static,Java,Java,Java,Java
_posts/gcp/2021-02-16-GCP-Summary.md,GCP - Free Tier Setup,GCP,Google Cloud Platform,GCP,Setup
_posts/gcp/2022-08-12-google-geocpdingApi.md,Google GeoCoding API,GCP,Microservices;Spring Boot,GCP,API
_posts/gcp/2025-03-21-gcp-commands.md,GCP Commands,GCP,GCP,GCP,Commands;CLI
_posts/gcp/2022-08-12-google-timeZoneApi.md,Google TimeZone API,GCP,Microservices;Spring Boot,GCP,API
_posts/gcp/2022-08-25-google-bigQuery.md,Google BigQuery ,GCP,Microservices;Spring Boot,GCP,SQL;Analytics
_posts/gcp/2021-04-11-Spanner-Db.md,Spanner Database,GCP,Google Cloud Platform,GCP,Database;Distributed
_posts/gcp/2021-04-08-multiple-gcp-config.md,Handling Multiple GCP Configs,GCP,Google Cloud Platform,GCP,Configuration
_posts/machineLearning/2023-07-17-prompt-engineering.md,OpenAi and Prompt Engineering,Machine Learning,Machine Learning,Machine Learning,Machine Learning
_posts/design-patterns/2023-11-06-builder-pattern.md,Builder Design Pattern,Java;Design Patterns,Java,Design Patterns,Java;OOP
_posts/design-patterns/2022-11-22-design-principles.md,Design Principles,Design Patterns,Java,Design Patterns,Best Practices
_posts/design-patterns/2024-06-17-Object-modelling.md,Object modelling,Java;Design Patterns,Java,Design Patterns,OOP;Architecture
_posts/design-patterns/2023-11-06-factory-pattern.md,Factory Design Pattern,Java;Design Patterns,Java,Design Patterns,Java;OOP
_posts/design-patterns/2022-12-20-iterator-patterns.md,Iterator As a Design Pattern,Java;Design Patterns,Java,Design Patterns,Java;Collections
_posts/design-patterns/2023-11-27-lazy.md,Laziness and Functional Programming,Java;Design Patterns,Java,Design Patterns,Functional Programming;Java;Performance
_posts/design-patterns/2024-06-17-Decorator.md,Decorator Pattern,Java;Design Patterns,Java,Design Patterns,Java;OOP
_posts/design-patterns/2022-11-22-SOLID-principles.md,SOLID Principles,Design Patterns,Java,Design Patterns,OOP;Best Practices
_posts/design-patterns/2022-12-20-strategy-pattern.md,Strategy Pattern,Java;Design Patterns,Java,Design Patterns,Java;OOP
_posts/design-patterns/2024-06-17-OOPS.md,Class v/s Type,Java;Design Patterns,Java,Design Patterns,OOP;Theory
_posts/design-patterns/2024-06-08-UML.md,UML,Java;Design Patterns,Java,Design Patterns,Documentation
_posts/design-patterns/2023-11-08-singleton.md,Singleton Design Pattern,Java;Design Patterns,Java,Design Patterns,Java;OOP
_posts/architecture/2024-09-15-SideCarPattern.md,Sidecar Pattern,Architecture,System Design,Architecture,Microservices;Design Patterns;Kubernetes
_posts/architecture/2025-04-22-SAGA-Architecture.md,SAGA Architecture Style & 2-Phase Commit,Architecture,Architectural Styles,Architecture,Microservices
_posts/architecture/2024-11-30-Cloud-Native.md,Cloud Native,Architecture,System Design,Architecture,Microservices;Kubernetes
_posts/architecture/2024-09-15-CQRS.md,Command Query Responsibility Segregation,Architecture,System Design,Architecture,Design Patterns;Microservices;Scalability
_posts/architecture/2025-04-22-Pipe-Filter-Architecture.md,The Pipeline (or Pipe-Filter) architectural style,Architecture,Architectural Styles,Architecture,Pipeline;Design Patterns
_posts/architecture/2019-11-22-code-quality.md,Code Quality,Architecture,Architecture,Architecture,Best Practices
_posts/architecture/2025-06-05-event-sourcing-Architecture.md,Event Sourcing,Architecture,Architectural Styles,Architecture,Architecture
_posts/architecture/2025-04-22-Onion_Clean-Architecture.md,Onion/Clean Architecture Style,Architecture,Architectural Styles,Architecture,Architecture
_posts/architecture/2024-09-12-Architecture.md,Architectural Patterns,Architecture,System Design,Architecture,Design Patterns;Microservices
_posts/finances/2025-08-28-us-debt.md,Understanding US Debt and Its Major Lenders,Finance,Finances,Finance,Investment
_posts/finances/2024-10-05-finances.md,Finances,Finance,Finances,Finance,Investment
_posts/finances/2025-01-27-retirement-401k.md,Understanding Your 401(k) Contributions,Finance,Finances,Finance,Investment
_posts/finances/2024-09-06-finance-charts.md,Financial Charts,Finance,Finances,Finance,Finance
_posts/developertools/2022-01-22-atom.md,Atom,Developer tools,Developer tools,Developer Tools,IDE;Tools
_posts/developertools/2021-03-24-sublime-settings.md,Sublime Settings,Developer tools,Developer tools,Developer Tools,Configuration;Settings;Tools
_posts/developertools/2023-05-27-dBeaver-settings.md,dBeaver for SQL Development,Developer tools,Database,Developer Tools,SQL;Database;IDE;Tools
_posts/developertools/2021-02-01-terminal-config.md,Terminal Setup,Developer tools;MacBook,MacBook,Developer Tools,Configuration;MacOS;Setup
_posts/developertools/2024-04-18-browser-devtools.md,Brave/Chrome Devtools,Developer tools,Developer tools,Developer Tools,Debugging
_posts/developertools/2022-01-19-markdown-reference.md,Markdown Reference,Developer tools,Developer tools,Developer Tools,Reference;Documentation
